"id","id_crm","id_idealista","estado","id_empresa","contact_id","link_idealista","scope","created_at","updated_at","ref"
139166,"5212676",28548677,inactive,5232,26975325,https://www.idealista.pt/imovel/28548677,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"434"
139167,"5208129",28536953,inactive,5232,26975325,https://www.idealista.pt/imovel/28536953,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,v-a423
139168,"5082050",28085072,inactive,5232,26975325,https://www.idealista.pt/imovel/28085072,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,E257
139169,"5082064",28085069,inactive,5232,26975325,https://www.idealista.pt/imovel/28085069,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,M258
139170,"5164224",28353949,inactive,5232,26975325,https://www.idealista.pt/imovel/28353949,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,A254
139171,"5177457",28385360,inactive,5232,26975325,https://www.idealista.pt/imovel/28385360,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,N-M372
139172,"5254408",28793074,inactive,5232,26975325,https://www.idealista.pt/imovel/28793074,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,S-t515
139173,"5182921",28407075,inactive,5232,26975325,https://www.idealista.pt/imovel/28407075,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,V- E380
139174,"5190230",28432696,inactive,5232,26975325,https://www.idealista.pt/imovel/28432696,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,V-A398
139175,"5116033",28164205,inactive,5232,26975325,https://www.idealista.pt/imovel/28164205,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,M280
139176,"5222027",28587633,inactive,5232,26975325,https://www.idealista.pt/imovel/28587633,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,S- A450
139177,"5060536",28026695,dropped_by_quality,5232,26975325,https://www.idealista.pt/imovel/28026695,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,A234
